CMDLINE C:\Users\arsal\AppData\Local\Programs\Python\Python312\python.exe index_search.py
MEM 1.707031 1708734657.4725
MEM 17.761719 1708734657.5731
MEM 27.292969 1708734657.6734
MEM 32.980469 1708734657.7739
MEM 39.054688 1708734657.8745
MEM 46.800781 1708734657.9751
MEM 50.421875 1708734658.0756
MEM 51.003906 1708734658.1761
MEM 56.804688 1708734658.2766
MEM 59.230469 1708734658.3767
MEM 63.843750 1708734658.4771
MEM 65.886719 1708734658.5776
MEM 67.000000 1708734658.6781
MEM 69.148438 1708734658.7784
MEM 70.039062 1708734658.8789
MEM 71.277344 1708734658.9794
MEM 72.511719 1708734659.0800
MEM 74.371094 1708734659.1803
MEM 78.207031 1708734659.2808
MEM 81.312500 1708734659.3812
MEM 82.257812 1708734659.4815
MEM 84.210938 1708734659.5817
MEM 85.816406 1708734659.6822
MEM 88.640625 1708734659.7825
MEM 90.339844 1708734659.8830
MEM 92.074219 1708734659.9831
MEM 94.382812 1708734660.0838
MEM 97.156250 1708734660.1840
MEM 101.511719 1708734660.2845
MEM 106.164062 1708734660.3849
MEM 109.750000 1708734660.4850
MEM 111.367188 1708734660.5852
MEM 114.578125 1708734660.6854
MEM 115.269531 1708734660.7860
MEM 116.074219 1708734660.8863
MEM 118.562500 1708734660.9868
MEM 120.625000 1708734661.0874
MEM 124.472656 1708734661.1875
MEM 129.492188 1708734661.2877
MEM 135.246094 1708734661.3883
MEM 145.214844 1708734661.4889
MEM 151.183594 1708734661.5894
MEM 157.433594 1708734661.6900
MEM 166.925781 1708734661.7906
MEM 173.312500 1708734661.8912
MEM 183.082031 1708734661.9919
MEM 188.878906 1708734662.0923
MEM 189.101562 1708734662.1929
MEM 189.300781 1708734662.2934
MEM 189.585938 1708734662.3940
MEM 189.878906 1708734662.4947
MEM 190.125000 1708734662.5953
MEM 190.371094 1708734662.6958
MEM 190.617188 1708734662.7963
MEM 190.843750 1708734662.8970
MEM 191.128906 1708734662.9976
MEM 191.324219 1708734663.0982
MEM 191.507812 1708734663.1988
MEM 191.722656 1708734663.2994
MEM 191.933594 1708734663.4000
MEM 192.152344 1708734663.5006
MEM 192.304688 1708734663.6012
MEM 192.488281 1708734663.7018
MEM 192.644531 1708734663.8023
MEM 193.035156 1708734663.9029
MEM 193.210938 1708734664.0035
MEM 193.394531 1708734664.1040
MEM 193.582031 1708734664.2045
MEM 193.734375 1708734664.3051
MEM 193.882812 1708734664.4056
MEM 194.054688 1708734664.5061
MEM 194.234375 1708734664.6066
MEM 194.398438 1708734664.7073
MEM 194.558594 1708734664.8079
MEM 194.710938 1708734664.9084
MEM 194.886719 1708734665.0090
MEM 195.066406 1708734665.1095
MEM 195.269531 1708734665.2101
MEM 195.460938 1708734665.3106
MEM 195.660156 1708734665.4111
MEM 195.843750 1708734665.5116
MEM 196.000000 1708734665.6121
MEM 196.167969 1708734665.7127
MEM 196.347656 1708734665.8133
MEM 196.535156 1708734665.9139
MEM 196.695312 1708734666.0145
MEM 196.867188 1708734666.1151
MEM 197.035156 1708734666.2157
MEM 197.222656 1708734666.3163
MEM 197.402344 1708734666.4169
MEM 197.957031 1708734666.5174
MEM 198.128906 1708734666.6180
MEM 198.300781 1708734666.7186
MEM 198.472656 1708734666.8192
MEM 198.636719 1708734666.9197
MEM 198.804688 1708734667.0202
MEM 198.964844 1708734667.1207
MEM 199.164062 1708734667.2212
MEM 199.343750 1708734667.3218
MEM 199.531250 1708734667.4223
MEM 199.726562 1708734667.5228
MEM 199.906250 1708734667.6233
MEM 200.078125 1708734667.7239
MEM 200.250000 1708734667.8244
MEM 200.414062 1708734667.9249
MEM 200.601562 1708734668.0255
MEM 200.781250 1708734668.1261
MEM 200.867188 1708734668.2268
MEM 200.933594 1708734668.3274
MEM 201.113281 1708734668.4280
MEM 201.300781 1708734668.5286
MEM 201.480469 1708734668.6292
MEM 201.656250 1708734668.7298
MEM 201.832031 1708734668.8304
MEM 201.992188 1708734668.9310
MEM 202.167969 1708734669.0316
MEM 202.324219 1708734669.1323
MEM 202.453125 1708734669.2329
MEM 202.566406 1708734669.3334
MEM 202.753906 1708734669.4341
MEM 202.921875 1708734669.5347
MEM 203.082031 1708734669.6353
MEM 203.250000 1708734669.7359
MEM 203.390625 1708734669.8364
MEM 203.539062 1708734669.9369
MEM 203.855469 1708734670.0374
MEM 204.011719 1708734670.1380
MEM 204.199219 1708734670.2386
MEM 204.371094 1708734670.3392
MEM 204.519531 1708734670.4397
MEM 204.687500 1708734670.5403
MEM 204.847656 1708734670.6409
MEM 205.011719 1708734670.7416
MEM 205.171875 1708734670.8421
MEM 205.339844 1708734670.9428
MEM 205.492188 1708734671.0434
MEM 205.636719 1708734671.1439
MEM 205.804688 1708734671.2445
MEM 206.234375 1708734671.3452
MEM 206.414062 1708734671.4458
MEM 206.574219 1708734671.5464
MEM 206.769531 1708734671.6470
