1,3237,3.0
1,3247,3.0
1,3351,3.0
1,3796,3.0
1,4245,3.0
1,4250,3.0
1,4304,3.0
1,6073,3.0
1,8871,3.0
1,9877,3.0
2,1968,3.3979
2,3900,3.3979
2,5551,3.3979
2,9054,3.3979
3,4094,2.9479
3,4100,2.9479
3,6817,2.9479
3,7090,2.9479
3,9779,2.9479
3,1991,2.5964
3,3517,2.5964
3,3539,2.5964
3,3547,2.5964
3,3560,2.5964
3,3604,2.5964
3,4093,2.5964
3,4097,2.5964
3,4104,2.5964
3,4109,2.5964
3,4146,2.5964
3,4150,2.5964
3,4162,2.5964
3,4174,2.5964
3,6704,2.5964
3,6720,2.5964
3,6739,2.5964
3,6820,2.5964
3,7092,2.5964
3,9719,2.5964
3,9724,2.5964
3,9734,2.5964
3,9756,2.5964
3,9787,2.5964
3,15,1.9957
3,2557,1.9957
3,2712,1.9957
3,2714,1.9957
3,2715,1.9957
3,3412,1.9957
3,3542,1.9957
3,3559,1.9957
3,3573,1.9957
3,3594,1.9957
3,3599,1.9957
3,3601,1.9957
3,3602,1.9957
3,3606,1.9957
3,3612,1.9957
3,3697,1.9957
3,3727,1.9957
3,3728,1.9957
3,3950,1.9957
3,4106,1.9957
3,4132,1.9957
3,4140,1.9957
3,4141,1.9957
3,4147,1.9957
3,4152,1.9957
3,4156,1.9957
3,4165,1.9957
3,4749,1.9957
3,6093,1.9957
3,6633,1.9957
3,6698,1.9957
3,6772,1.9957
3,6779,1.9957
3,6824,1.9957
3,7083,1.9957
3,7098,1.9957
3,7100,1.9957
3,7109,1.9957
3,7110,1.9957
3,7111,1.9957
3,7119,1.9957
3,7122,1.9957
3,7124,1.9957
3,7129,1.9957
3,7132,1.9957
3,7139,1.9957
3,7758,1.9957
3,7759,1.9957
3,8023,1.9957
3,8158,1.9957
3,8563,1.9957
3,8886,1.9957
3,8947,1.9957
3,9032,1.9957
3,9138,1.9957
3,9211,1.9957
3,9257,1.9957
3,9727,1.9957
3,9730,1.9957
3,9741,1.9957
3,9743,1.9957
3,9746,1.9957
3,9750,1.9957
3,9751,1.9957
3,9757,1.9957
3,9759,1.9957
3,9763,1.9957
3,9765,1.9957
3,9804,1.9957
3,9808,1.9957
3,9815,1.9957
3,9817,1.9957
4,4093,3.542
4,3528,3.1198
4,3610,3.1198
4,4121,3.1198
4,4146,3.1198
4,4157,3.1198
4,6734,3.1198
4,6735,3.1198
4,6741,3.1198
4,6742,3.1198
4,9786,3.1198
4,9793,3.1198
4,8,2.3979
4,9,2.3979
4,168,2.3979
4,3525,2.3979
4,3556,2.3979
4,3605,2.3979
4,3608,2.3979
4,3611,2.3979
4,4078,2.3979
4,4079,2.3979
4,4085,2.3979
4,4092,2.3979
4,4111,2.3979
4,4140,2.3979
4,4154,2.3979
4,4159,2.3979
4,4162,2.3979
4,4855,2.3979
4,6818,2.3979
4,6821,2.3979
4,7086,2.3979
4,7090,2.3979
4,7112,2.3979
4,9755,2.3979
4,9761,2.3979
4,9782,2.3979
4,9787,2.3979
4,9835,2.3979
5,394,2.7212
5,492,2.7212
5,1900,2.7212
5,2026,2.7212
5,3041,2.7212
5,3042,2.7212
5,3435,2.7212
5,5267,2.7212
5,5286,2.7212
5,5298,2.7212
5,5493,2.7212
5,5611,2.7212
5,6398,2.7212
5,6633,2.7212
5,6661,2.7212
5,6970,2.7212
5,7333,2.7212
5,7629,2.7212
5,8993,2.7212
6,1,2.4202
6,6,2.4202
6,506,2.4202
6,517,2.4202
6,550,2.4202
6,890,2.4202
6,891,2.4202
6,1439,2.4202
6,1441,2.4202
6,2444,2.4202
6,2809,2.4202
6,3130,2.4202
6,3228,2.4202
6,3787,2.4202
6,4789,2.4202
6,4790,2.4202
6,4976,2.4202
6,5211,2.4202
6,5279,2.4202
6,5780,2.4202
6,6151,2.4202
6,6207,2.4202
6,6968,2.4202
6,6970,2.4202
6,7211,2.4202
6,7252,2.4202
6,7358,2.4202
6,7419,2.4202
6,7429,2.4202
6,7711,2.4202
6,7996,2.4202
6,8009,2.4202
6,8060,2.4202
6,8400,2.4202
6,8938,2.4202
6,9219,2.4202
6,9435,2.4202
6,9664,2.4202
7,1985,3.699
7,9311,3.699
